datetime,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率
2026-02-05 09:35:00,1520.0,1544.0,1547.0,1515.0,1.25,19.0,9340,1431754879.0,2.1,0.07
2026-02-05 09:40:00,1542.01,1536.5,1543.0,1535.99,-0.49,-7.5,4393,676196658.0,0.45,0.04
2026-02-05 09:45:00,1536.7,1540.02,1544.24,1535.14,0.23,3.52,3122,480949453.0,0.59,0.02
2026-02-05 09:50:00,1541.0,1537.37,1541.51,1533.99,-0.17,-2.65,2346,360988802.0,0.49,0.02
2026-02-05 09:55:00,1538.88,1538.0,1541.99,1536.98,0.04,0.63,1704,262267784.0,0.33,0.01
2026-02-05 10:00:00,1538.0,1535.0,1538.0,1531.23,-0.2,-3.0,1640,251503466.0,0.44,0.01
2026-02-05 10:05:00,1535.9,1544.89,1546.36,1535.11,0.64,9.89,4154,640599859.0,0.73,0.03
2026-02-05 10:10:00,1546.0,1555.49,1555.62,1545.0,0.69,10.6,5206,807170874.0,0.69,0.04
2026-02-05 10:15:00,1555.52,1556.0,1559.1,1555.05,0.03,0.51,3204,499016756.0,0.26,0.03
2026-02-05 10:20:00,1556.76,1555.2,1556.76,1551.01,-0.05,-0.8,1565,243126557.0,0.37,0.01
2026-02-05 10:25:00,1555.3,1555.0,1556.0,1552.03,-0.01,-0.2,1643,255531387.0,0.26,0.01
2026-02-05 10:30:00,1554.89,1556.16,1559.89,1553.0,0.07,1.16,1910,297420963.0,0.44,0.02
2026-02-05 10:35:00,1554.5,1547.36,1557.0,1547.0,-0.57,-8.8,1846,286267957.0,0.64,0.01
2026-02-05 10:40:00,1547.74,1540.5,1549.0,1540.0,-0.44,-6.86,1580,244043039.0,0.58,0.01
2026-02-05 10:45:00,1540.02,1541.65,1547.59,1540.02,0.07,1.15,1134,175079873.0,0.49,0.01
2026-02-05 10:50:00,1541.02,1538.55,1541.31,1535.84,-0.2,-3.1,1691,260087246.0,0.35,0.01
2026-02-05 10:55:00,1539.28,1540.0,1540.19,1535.9,0.09,1.45,1251,192329830.0,0.28,0.01
2026-02-05 11:00:00,1539.9,1534.41,1540.0,1534.35,-0.36,-5.59,1181,181444338.0,0.37,0.01
2026-02-05 11:05:00,1534.35,1534.98,1535.07,1532.66,0.04,0.57,971,148928439.0,0.16,0.01
2026-02-05 11:10:00,1534.98,1539.65,1541.13,1533.33,0.3,4.67,926,142335153.0,0.51,0.01
2026-02-05 11:15:00,1539.66,1542.79,1543.25,1538.19,0.2,3.14,557,85826977.0,0.33,0.0
2026-02-05 11:20:00,1542.89,1549.5,1550.0,1542.8,0.43,6.71,1220,188831311.0,0.47,0.01
2026-02-05 11:25:00,1549.8,1548.7,1551.73,1547.98,-0.05,-0.8,997,154530884.0,0.24,0.01
2026-02-05 11:30:00,1548.02,1546.46,1549.03,1545.01,-0.14,-2.24,768,118840755.0,0.26,0.01
2026-02-05 13:05:00,1545.9,1554.67,1554.88,1545.89,0.53,8.21,2772,429989124.0,0.58,0.02
2026-02-05 13:10:00,1554.01,1555.91,1557.5,1554.01,0.08,1.24,2719,423115206.0,0.22,0.02
2026-02-05 13:15:00,1555.79,1557.09,1557.09,1555.2,0.08,1.18,2879,448079535.0,0.12,0.02
2026-02-05 13:20:00,1557.12,1556.94,1557.49,1552.93,-0.01,-0.15,1764,274480571.0,0.29,0.01
2026-02-05 13:25:00,1556.99,1557.49,1557.6,1555.5,0.04,0.55,1398,217658223.0,0.13,0.01
2026-02-05 13:30:00,1557.49,1555.55,1557.5,1554.68,-0.12,-1.94,1072,166853927.0,0.18,0.01
2026-02-05 13:35:00,1555.54,1556.04,1557.48,1553.69,0.03,0.49,1277,198721238.0,0.24,0.01
2026-02-05 13:40:00,1556.07,1558.91,1559.9,1556.06,0.18,2.87,2154,335719889.0,0.25,0.02
2026-02-05 13:45:00,1558.9,1562.88,1563.0,1558.9,0.25,3.97,3360,524285475.0,0.26,0.03
2026-02-05 13:50:00,1562.98,1564.4,1565.0,1562.98,0.1,1.52,1630,254967606.0,0.13,0.01
2026-02-05 13:55:00,1563.71,1560.26,1563.71,1558.64,-0.26,-4.14,1187,185232876.0,0.32,0.01
2026-02-05 14:00:00,1560.23,1556.03,1560.45,1556.01,-0.27,-4.23,835,130056814.0,0.28,0.01
2026-02-05 14:05:00,1556.64,1553.84,1557.0,1553.79,-0.14,-2.19,972,151191362.0,0.21,0.01
2026-02-05 14:10:00,1553.84,1549.97,1553.84,1546.99,-0.25,-3.87,1269,196725204.0,0.44,0.01
2026-02-05 14:15:00,1547.78,1549.05,1549.99,1546.72,-0.06,-0.92,869,134561443.0,0.21,0.01
2026-02-05 14:20:00,1549.11,1552.08,1553.09,1549.1,0.2,3.03,917,142287568.0,0.26,0.01
